Trial_num,Total_rollout_steps,Success,"Final_baseline_cost (0.5,5)",Comp_pos_error,Comp_quat_error,Mpc_horizon,pos_weight
0,1200,False,73.31141403740467,0.14661846038114276,0.0004367693666571526,4,0.005
0,1200,False,56.75347072518648,0.1134894756716668,0.0017465778706167168,5,0.005
0,1200,False,77.06142976508917,0.1541123219045996,0.001053762557876814,6,0.005
0,1200,False,89.7548206751326,0.1794906355845978,0.0019005765667435837,7,0.005
0,1200,False,90.41479485693286,0.1808019288742089,0.002766083965681787,8,0.005
0,1200,False,80.53584962092644,0.1610059573992547,0.006574184259818705,10,0.005
0,1200,False,57.72325742610697,0.11544230987272547,0.0004204979488462435,4,0.01
0,1200,False,52.852981941131986,0.1056850494780582,0.0020914404205781834,5,0.01
0,1200,False,73.66695120975879,0.1473240219564598,0.0009880463057778677,6,0.01
0,1200,False,73.94028944713256,0.14786125844002207,0.0019320454243023644,7,0.01
0,1200,False,88.42329754076118,0.17681619557460598,0.0030399506916384267,8,0.01
0,1200,False,73.48318596012844,0.14694771484822683,0.0018657072030047184,10,0.01
0,1200,False,70.93041197842864,0.14185649748627,0.00043264705872803066,4,0.02
0,1200,False,83.47391383981686,0.16692647805923652,0.0021349620397189684,5,0.02
0,1200,False,74.71117607656349,0.14941211967527007,0.0010232477856891853,6,0.02
0,1200,False,77.5153408293141,0.1550075771268082,0.0023104531819994056,7,0.02
0,1200,False,88.45071190366302,0.17687487252115686,0.0026551286169208543,8,0.02
0,1200,False,77.10390982127117,0.15408970216481108,0.01181174777312699,10,0.02
0,1200,False,57.15823083957374,0.11431214252884664,0.00043191503008377374,4,0.035
0,1200,False,82.15044173804101,0.1642830506227266,0.0017832853355390643,5,0.035
0,1200,False,73.09605947622059,0.1461823097696827,0.0009809182758494517,6,0.035
0,1200,False,85.8759387796814,0.17173416694305702,0.0017710616305797178,7,0.035
0,1200,False,92.32044497868871,0.18461129852716748,0.0029591430209939817,8,0.035
0,1200,False,74.57965844152356,0.14906466016933345,0.009465671371367779,10,0.035
0,1200,False,73.01877523119578,0.14602979902784313,0.0007751434548424196,4,0.05
0,1200,False,73.4164296994756,0.1468116389019095,0.002122049704168516,5,0.05
0,1200,False,69.95801842166836,0.13990618447572487,0.000985236761183117,6,0.05
0,1200,False,86.13561914448368,0.1722503004401715,0.0020937848795866687,7,0.05
0,1200,False,78.67725050251181,0.1573305546570829,0.0023946347940732027,8,0.05
0,1200,False,65.39244554496341,0.13074048480717645,0.004440628275037106,10,0.05
0,1200,False,57.72325742610697,0.11544230987272547,0.0004204979488462435,4,0.01
0,1200,False,52.852981941131986,0.1056850494780582,0.0020914404205781834,5,0.01
0,1200,False,73.66695120975879,0.1473240219564598,0.0009880463057778677,6,0.01
0,1200,False,73.94028944713256,0.14786125844002207,0.0019320454243023644,7,0.01
0,1200,False,88.42329754076118,0.17681619557460598,0.0030399506916384267,8,0.01
0,1200,False,73.48318596012844,0.14694771484822683,0.0018657072030047184,10,0.01
1,1200,False,94.0062473010524,0.1880113857683079,0.0001108833796908959,4,0.005
1,1200,False,76.37711584137803,0.15275302838711846,0.00012032956375840342,5,0.005
1,1200,False,63.3206030372445,0.12663996455207766,0.00012415224113493384,6,0.005
1,1200,False,36.10908981271345,0.07221700255306499,0.00011770723619086709,7,0.005
1,1200,False,23.137139568103038,0.04624774851754065,0.002653061866542794,8,0.005
1,1200,False,37.93855558510652,0.07033465810405212,0.5542453066160922,10,0.005
1,1200,False,94.6801994351127,0.1893592757134423,0.00011231567831093692,4,0.01
1,1200,False,79.21657730940798,0.15843196099300733,0.00011936258086497897,5,0.01
1,1200,False,64.15776008193168,0.12831429762460372,0.0001222539259670974,6,0.01
1,1200,False,43.075241784321214,0.08614907236900995,0.00014111996324761567,7,0.01
1,1123,True,5.974837023928332,0.011847352180970033,0.010232186688663214,8,0.01
1,1200,False,17.771377946262074,0.03523370384272221,0.030905204980194,10,0.01
1,1200,False,95.47047609816968,0.19093978114116408,0.00011710551752930343,4,0.02
1,1200,False,81.14250088861621,0.16228367750153966,0.00013242756927445143,5,0.02
1,1200,False,60.38507561510258,0.12076898924918601,0.00011619810191454416,6,0.02
1,1200,False,41.263569047448875,0.08252554558541059,0.00015925094871649392,7,0.02
1,1166,True,8.070929482420194,0.016140806295918148,0.00010526689222367658,8,0.02
1,987,True,9.671019377362,0.019130204765648837,0.021183398907516193,10,0.02
1,1200,False,89.44347816086248,0.17888571075885998,0.00012455628649987727,4,0.035
1,1200,False,76.87979865468103,0.15375836287740188,0.00012344319601698128,5,0.035
1,1200,False,60.478542503894936,0.12095588341528868,0.00012015925011832351,6,0.035
1,1200,False,30.014258879952312,0.060027246319730505,0.0001271440174113181,7,0.035
1,1200,False,12.55848851701162,0.025115942199515115,0.00010348345081256927,8,0.035
1,883,True,8.748748030241426,0.01744890423607717,0.004859182440568155,10,0.035
1,1200,False,92.72725158245133,0.18545326434791246,0.00012388169901977886,4,0.05
1,1200,False,75.09413621292228,0.15018697651122898,0.0001295914615574434,5,0.05
1,1200,False,59.256372246679895,0.11851151616131579,0.00012283320439965273,6,0.05
1,1200,False,24.959344501903434,0.04991767392559587,0.00010150782109996648,7,0.05
1,1090,True,7.422370213614843,0.014843037460949277,0.00017029662804080026,8,0.05
1,1200,False,35.60251430093973,0.07116343413235567,0.004159446952379575,10,0.05
1,1200,False,94.6801994351127,0.1893592757134423,0.00011231567831093692,4,0.01
1,1200,False,79.21657730940798,0.15843196099300733,0.00011936258086497897,5,0.01
